Id,Sold Price
47439,856404.94
47440,605708.8
47441,1127304.5
47442,852720.44
47443,6239.1235
47444,91559.96
47445,6788.276
47446,218191.83
47447,2426174.0
47448,4904.973
47449,4709.6587
47450,629413.0
47451,458678.22
47452,355418.97
47453,506381.22
47454,6623.8013
47455,2766.7744
47456,1986707.6
47457,1123416.2
47458,3332.4326
47459,3289.923
47460,6319.439
47461,114158.03
47462,904065.25
47463,1264810.9
47464,5370.475
47465,4833.559
47466,1000869.4
47467,4868.506
47468,251706620.0
47469,4880.5044
47470,3655.8623
47471,412289.7
47472,3736.5457
47473,2070964.0
47474,68979.086
47475,55323.38
47476,319566.84
47477,2126.9253
47478,198657.02
47479,61869.26
47480,223695.67
47481,105461.69
47482,1475552.6
47483,555542.44
47484,40509.125
47485,553439.9
47486,6633.0054
47487,883800.9
47488,1266962.1
47489,563416.06
47490,42956.734
47491,3250.9246
47492,4051.2656
47493,3655.8623
47494,679739.75
47495,22422.31
47496,2792871.2
47497,1776688.2
47498,1397554.1
47499,219974.86
47500,209802.62
47501,52026.402
47502,258413.8
47503,227146.44
47504,51365.234
47505,881890.5
47506,371794.12
47507,709007.56
47508,4415.2065
47509,4841.568
47510,4083.6516
47511,3789.225
47512,16910.373
47513,69139.45
47514,856717.0
47515,51921.72
47516,866502.44
47517,3551.0522
47518,1894650.6
47519,4142.236
47520,1413045.4
47521,2041370.4
47522,610027.6
47523,1689290.1
47524,26151.113
47525,9596.742
47526,484761.62
47527,1502153.4
47528,184533.55
47529,463651.9
47530,5838.854
47531,2891428.2
47532,526556.2
47533,82807.43
47534,285724.2
47535,3098.7424
47536,579125.6
47537,14989.892
47538,61000.402
47539,2858.719
47540,1175190.9
47541,792533.2
47542,462913.16
47543,1279166.1
47544,652991.5
47545,1789489.5
47546,511042.94
47547,4669.6357
47548,2421611.0
47549,483208.9
47550,13587511.0
47551,49253.332
47552,3447.1392
47553,1202036.8
47554,389940.62
47555,3427.1797
47556,5911.468
47557,3491.7866
47558,965778.9
47559,264316.22
47560,3002.7368
47561,9041.445
47562,715040.8
47563,4296.376
47564,460379.9
47565,1492442.0
47566,1125395.8
47567,701675.56
47568,313785.4
47569,181412.9
47570,10916.366
47571,175384.94
47572,450184.22
47573,1981216.9
47574,3257.392
47575,925671.4
47576,1357432.0
47577,4479.35
47578,79757.04
47579,445899.03
47580,3551.8176
47581,23708.441
47582,4028.5383
47583,4759.139
47584,13497.331
47585,4652.7124
47586,41912.37
47587,141707.28
47588,4742.1494
47589,8187.7163
47590,272361.6
47591,6194.9644
47592,13492.813
47593,3506.6433
47594,80115.49
47595,521841.5
47596,1747400.9
47597,3496.375
47598,33819.215
47599,4915.9126
47600,3557107.8
47601,2566.357
47602,473551.1
47603,847026.7
47604,2986.7231
47605,1086948.5
47606,867171.25
47607,319317.03
47608,4817.333
47609,293221.94
47610,4704.7793
47611,3191448.8
47612,250103.06
47613,6101.3696
47614,544797.25
47615,153825.9
47616,3811.5945
47617,1899059.1
47618,365649.72
47619,3630.1946
47620,57222.004
47621,3542.8223
47622,1293857.0
47623,1651903.9
47624,782498.06
47625,3842.002
47626,436236.56
47627,700574.3
47628,2863.5896
47629,1471539.1
47630,1079574.4
47631,1808645.4
47632,439809.0
47633,472639.72
47634,3890.6765
47635,4903.9863
47636,533006.44
47637,4271.597
47638,25643.275
47639,516856.44
47640,3812.8452
47641,3980.9553
47642,152993.02
47643,741598.6
47644,1115291.5
47645,3594.6382
47646,3018.5654
47647,4402.664
47648,353782.9
47649,555906.0
47650,1272449.9
47651,2265.8477
47652,87140.875
47653,733258.7
47654,5547.091
47655,179536.55
47656,3027712.5
47657,1641866.2
47658,1293516.5
47659,4100.475
47660,379429.88
47661,4025.1665
47662,194589.78
47663,956210.94
47664,26244.355
47665,2671883.0
47666,1161903.9
47667,838740.8
47668,119238.95
47669,521588.25
47670,292420.47
47671,10340.545
47672,1814853.4
47673,5076.795
47674,1209100.6
47675,4112.4194
47676,5715.3364
47677,1142330.1
47678,1103485.4
47679,5647.275
47680,36184.688
47681,771022.9
47682,4974.5903
47683,2640.8477
47684,1144989.2
47685,3870.3115
47686,1425957.2
47687,1783155.6
47688,468659.8
47689,833285.0
47690,4573.355
47691,8657.268
47692,3568.3794
47693,4412.8745
