Id,Sold Price
47439,722265.75
47440,257519.12
47441,704663.9
47442,622245.7
47443,393885.34
47444,519613.03
47445,947018.4
47446,296497.53
47447,1090393.0
47448,205796.58
47449,491447.1
47450,376931.78
47451,237471.06
47452,517780.44
47453,382405.38
47454,281081.9
47455,259708.02
47456,518090.6
47457,185056.7
47458,182787.02
47459,246267.64
47460,1691300.6
47461,1019970.3
47462,417701.72
47463,446750.16
47464,414503.5
47465,312690.16
47466,737943.25
47467,605479.75
47468,2810914.5
47469,394111.34
47470,213117.92
47471,308911.97
47472,236849.88
47473,1106487.9
47474,184072.97
47475,1883925.0
47476,267162.38
47477,200036.48
47478,183547.61
47479,284570.25
47480,125959.07
47481,238343.6
47482,922835.06
47483,269229.3
47484,2248502.8
47485,246135.2
47486,267858.25
47487,312777.94
47488,524689.4
47489,340003.8
47490,203442.62
47491,270069.53
47492,422261.97
47493,164258.08
47494,304961.1
47495,274369.7
47496,1370326.8
47497,490321.12
47498,1054356.1
47499,304697.75
47500,198095.88
47501,234703.05
47502,203952.9
47503,429464.34
47504,270141.4
47505,293854.78
47506,479611.75
47507,385143.62
47508,423848.12
47509,314574.38
47510,224758.19
47511,559526.3
47512,287795.6
47513,240712.5
47514,224337.31
47515,249949.22
47516,335518.47
47517,325649.56
47518,866925.1
47519,379680.8
47520,907369.1
47521,1440665.4
47522,337688.2
47523,381541.84
47524,237568.78
47525,1515549.1
47526,211838.61
47527,1447605.2
47528,320928.7
47529,248024.1
47530,644860.9
47531,965951.56
47532,399484.2
47533,507469.2
47534,253394.06
47535,215816.56
47536,300470.94
47537,936691.06
47538,286295.94
47539,287057.0
47540,369075.12
47541,332541.06
47542,330739.62
47543,292652.62
47544,357091.12
47545,474659.8
47546,394915.0
47547,416779.34
47548,611234.1
47549,176226.42
47550,4471451.0
47551,280002.88
47552,264584.44
47553,473880.5
47554,349246.34
47555,246934.4
47556,291202.2
47557,303902.62
47558,711638.0
47559,225121.77
47560,231553.88
47561,977625.6
47562,410302.16
47563,700562.94
47564,296004.6
47565,948936.4
47566,685773.94
47567,320835.03
47568,605052.8
47569,247427.97
47570,441960.4
47571,189246.28
47572,160273.23
47573,523974.3
47574,222197.56
47575,391492.12
47576,454389.03
47577,508324.75
47578,373749.7
47579,342042.78
47580,220978.31
47581,261179.3
47582,348756.2
47583,431891.7
47584,516819.34
47585,252935.97
47586,253623.36
47587,182849.38
47588,749655.1
47589,473667.84
47590,261894.05
47591,366662.94
47592,947997.5
47593,196225.2
47594,215192.81
47595,513818.97
47596,415101.47
47597,350645.2
47598,340926.75
47599,655200.4
47600,1405097.1
47601,308770.38
47602,221420.5
47603,242550.88
47604,189392.52
47605,417950.1
47606,362621.72
47607,276762.7
47608,192178.39
47609,209610.38
47610,325308.8
47611,1925120.4
47612,251651.58
47613,429286.03
47614,420882.5
47615,240848.28
47616,255638.19
47617,770803.1
47618,219337.9
47619,229787.22
47620,226035.95
47621,281604.78
47622,222695.02
47623,605605.0
47624,443975.97
47625,301631.94
47626,196383.17
47627,371249.56
47628,259407.19
47629,543130.3
47630,356673.16
47631,391829.3
47632,343761.8
47633,208683.16
47634,431273.6
47635,442698.4
47636,343677.16
47637,359308.12
47638,1189187.4
47639,250601.92
47640,150756.4
47641,220100.31
47642,212869.81
47643,466778.16
47644,331886.72
47645,266653.75
47646,204037.16
47647,582218.44
47648,708460.06
47649,287083.5
47650,619444.06
47651,203126.9
47652,383016.22
47653,319374.38
47654,612057.25
47655,338653.4
47656,967149.06
47657,348227.06
47658,1141462.9
47659,399836.9
47660,393615.72
47661,352168.88
47662,292854.47
47663,634038.6
47664,1033414.6
47665,881757.4
47666,463983.75
47667,320315.88
47668,252969.95
47669,340446.06
47670,162379.77
47671,696748.4
47672,842046.5
47673,335535.22
47674,371707.75
47675,258853.73
47676,589724.7
47677,676053.3
47678,610922.56
47679,1566553.2
47680,223831.28
47681,256180.5
47682,261117.75
47683,235381.95
47684,688730.7
47685,426079.7
47686,227289.34
47687,1078618.0
47688,256427.28
47689,308631.5
47690,533482.44
47691,949835.75
47692,221644.16
47693,282478.5
47694,251493.22
47695,872764.44
47696,185040.89
47697,937847.0
47698,286586.8
47699,276334.22
47700,615484.44
47701,253052.11
47702,1878801.1
47703,168135.72
47704,195771.8
47705,264776.97
47706,266933.3
47707,473319.38
47708,182499.75
47709,349637.84
47710,206809.33
47711,486136.66
47712,255963.56
47713,942641.06
47714,306921.06
47715,334233.53
47716,455439.94
47717,219790.75
47718,265896.03
47719,198480.16
47720,701053.4
47721,354624.66
47722,254269.45
47723,213750.25
47724,344207.8
47725,480568.7
47726,276364.1
47727,345798.0
47728,222667.19
47729,346313.06
47730,420005.03
47731,326636.3
47732,204988.9
47733,271712.22
47734,5222223.5
47735,573197.0
47736,519278.16
47737,211320.67
47738,159874.19
47739,190224.27
47740,335603.53
47741,350905.4
47742,223105.58
47743,570617.75
